split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
6,pi_uncertainty,PI + Uncertainty,0,40,0,40,35,20,1.0,7,0.35,2.716704328567016,0.3256560726283961,10.856476588192956,4.695855598057804,-2.5918333797563604,0
6,pi_uncertainty,PI + Uncertainty,1,40,5,45,30,20,1.0,7,0.35,2.6969614560775317,0.3642240167937522,10.856476588192956,4.681625693069154,-2.5269306052808256,0
6,pi_uncertainty,PI + Uncertainty,2,40,10,50,25,20,1.0,7,0.35,3.1282797083483165,0.3370940653029262,10.856476588192956,5.217889054304104,-2.964447212896039,0
6,pi_uncertainty,PI + Uncertainty,3,40,15,55,20,20,1.0,7,0.35,2.721319922482358,0.5196703908967084,10.856476588192956,4.68595111347537,-2.5794070546555963,0
6,pi_uncertainty,PI + Uncertainty,4,40,20,60,15,20,1.0,7,0.35,2.707371564501104,0.4613349002625302,10.856476588192956,4.682452534155247,-2.582287472726838,0
6,pi_uncertainty,PI + Uncertainty,5,40,25,65,10,20,1.0,6,0.3,2.3202334087663283,0.3082292215223017,10.856476588192956,4.340725411689653,-2.1951723267455883,0
6,pi_uncertainty,PI + Uncertainty,6,40,30,70,5,20,1.0,6,0.3,2.369527353951002,0.3158881079504807,10.856476588192956,4.355644497912413,-2.2188525917225705,0
6,pi_uncertainty,PI + Uncertainty,7,40,35,75,0,20,1.0,7,0.35,2.7234935627685943,0.4609884441271399,10.856476588192956,4.6877688816285605,-2.60026682994047,0
6,imperfection_aware,Imperfection-aware,0,40,0,40,35,20,1.0,7,0.35,2.716704328567016,0.3256560726283961,10.856476588192956,4.695855598057804,-2.5918333797563604,0
6,imperfection_aware,Imperfection-aware,1,40,5,45,30,20,1.0,7,0.35,3.1306877048696955,0.3299498443228517,10.856476588192956,5.217714702334988,-2.964441768149415,0
